dt,dr,dh
0,8.29E-26,7.01E-23
1.00E-07,8.48E-23,7.17E-20
2.00E-07,4.81E-21,4.07E-18
3.00E-07,8.20E-20,6.94E-17
4.00E-07,7.22E-19,6.11E-16
5.00E-07,4.20E-18,3.55E-15
6.00E-07,1.84E-17,1.56E-14
7.00E-07,6.55E-17,5.54E-14
8.00E-07,2.00E-16,1.69E-13
9.00E-07,5.39E-16,4.56E-13
1.00E-06,1.32E-15,1.12E-12
1.10E-06,2.98E-15,2.52E-12
1.20E-06,6.28E-15,5.31E-12
1.30E-06,1.25E-14,1.06E-11
1.40E-06,2.38E-14,2.01E-11
1.50E-06,4.32E-14,3.66E-11
1.60E-06,7.57E-14,6.41E-11
1.70E-06,1.28E-13,1.09E-10
1.80E-06,2.11E-13,1.79E-10
1.90E-06,3.39E-13,2.87E-10
2.00E-06,5.32E-13,4.50E-10
2.10E-06,8.15E-13,6.90E-10
2.20E-06,1.23E-12,1.04E-09
2.30E-06,1.81E-12,1.53E-09
2.40E-06,2.64E-12,2.23E-09
2.50E-06,3.78E-12,3.19E-09
2.60E-06,5.34E-12,4.51E-09
2.70E-06,7.44E-12,6.30E-09
2.80E-06,1.03E-11,8.68E-09
2.90E-06,1.40E-11,1.18E-08
3.00E-06,1.89E-11,1.60E-08
3.10E-06,2.52E-11,2.13E-08
3.20E-06,3.34E-11,2.83E-08
3.30E-06,4.38E-11,3.71E-08
3.40E-06,5.71E-11,4.83E-08
3.50E-06,7.38E-11,6.25E-08
3.60E-06,9.48E-11,8.02E-08
3.70E-06,1.21E-10,1.02E-07
3.80E-06,1.53E-10,1.30E-07
3.90E-06,1.93E-10,1.63E-07
4.00E-06,2.41E-10,2.04E-07
4.10E-06,3.00E-10,2.54E-07
4.20E-06,3.72E-10,3.15E-07
4.30E-06,4.59E-10,3.88E-07
4.40E-06,5.63E-10,4.76E-07
4.50E-06,6.87E-10,5.81E-07
4.60E-06,8.35E-10,7.07E-07
4.70E-06,1.01E-09,8.55E-07
4.80E-06,1.22E-09,1.03E-06
4.90E-06,1.46E-09,1.24E-06
5.00E-06,1.75E-09,1.48E-06
5.10E-06,2.09E-09,1.77E-06
5.20E-06,2.49E-09,2.10E-06
5.30E-06,2.94E-09,2.49E-06
5.40E-06,3.48E-09,2.94E-06
5.50E-06,4.10E-09,3.46E-06
5.60E-06,4.81E-09,4.07E-06
5.70E-06,5.63E-09,4.76E-06
5.80E-06,6.57E-09,5.56E-06
5.90E-06,7.65E-09,6.47E-06
6.00E-06,8.89E-09,7.52E-06
6.10E-06,1.03E-08,8.71E-06
6.20E-06,1.19E-08,1.01E-05
6.30E-06,1.37E-08,1.16E-05
6.40E-06,1.58E-08,1.34E-05
6.50E-06,1.81E-08,1.53E-05
6.60E-06,2.08E-08,1.76E-05
6.70E-06,2.38E-08,2.01E-05
6.80E-06,2.71E-08,2.29E-05
6.90E-06,3.09E-08,2.61E-05
7.00E-06,3.51E-08,2.97E-05
7.10E-06,3.99E-08,3.37E-05
7.20E-06,4.52E-08,3.82E-05
7.30E-06,5.11E-08,4.32E-05
7.40E-06,5.77E-08,4.88E-05
7.50E-06,6.50E-08,5.50E-05
7.60E-06,7.32E-08,6.19E-05
7.70E-06,8.22E-08,6.95E-05
7.80E-06,9.23E-08,7.80E-05
7.90E-06,1.03E-07,8.74E-05
8.00E-06,1.16E-07,9.78E-05
8.10E-06,1.29E-07,0.00010926
8.20E-06,1.44E-07,0.00012189
8.30E-06,1.61E-07,0.00013581
8.40E-06,1.79E-07,0.00015113
8.50E-06,1.99E-07,0.00016796
8.60E-06,2.21E-07,0.00018643
8.70E-06,2.45E-07,0.00020668
8.80E-06,2.71E-07,0.00022885
8.90E-06,3.00E-07,0.00025312
9.00E-06,3.31E-07,0.00027964
9.10E-06,3.65E-07,0.00030859
9.20E-06,4.03E-07,0.00034018
9.30E-06,4.44E-07,0.00037459
9.40E-06,4.88E-07,0.00041206
9.50E-06,5.36E-07,0.0004528
9.60E-06,5.89E-07,0.00049708
9.70E-06,6.46E-07,0.00054515
9.80E-06,7.08E-07,0.00059728
9.90E-06,7.75E-07,0.00065378
1.00E-05,8.48E-07,0.00071494
1.01E-05,9.27E-07,0.00078112
1.02E-05,1.01E-06,0.00085264
1.03E-05,1.10E-06,0.00092988
1.04E-05,1.20E-06,0.0010132
1.05E-05,1.31E-06,0.0011031
1.06E-05,1.43E-06,0.0011999
1.07E-05,1.55E-06,0.0013041
1.08E-05,1.69E-06,0.0014162
1.09E-05,1.83E-06,0.0015367
1.10E-05,1.99E-06,0.001666
1.11E-05,2.15E-06,0.0018048
1.12E-05,2.33E-06,0.0019536
1.13E-05,2.53E-06,0.002113
1.14E-05,2.73E-06,0.0022836
1.15E-05,2.96E-06,0.0024662
1.16E-05,3.19E-06,0.0026612
1.17E-05,3.45E-06,0.0028695
1.18E-05,3.72E-06,0.0030918
1.19E-05,4.01E-06,0.0033288
1.20E-05,4.32E-06,0.0035812
1.21E-05,4.66E-06,0.0038499
1.22E-05,5.01E-06,0.0041357
1.23E-05,5.39E-06,0.0044394
1.24E-05,5.79E-06,0.0047618
1.25E-05,6.23E-06,0.0051039
1.26E-05,6.69E-06,0.0054665
1.27E-05,7.17E-06,0.0058504
1.28E-05,7.70E-06,0.0062566
1.29E-05,8.25E-06,0.0066859
1.30E-05,8.84E-06,0.0071393
1.31E-05,9.47E-06,0.0076176
1.32E-05,1.01E-05,0.0081217
1.33E-05,1.08E-05,0.0086524
1.34E-05,1.16E-05,0.0092106
1.35E-05,1.24E-05,0.009797
1.36E-05,1.32E-05,0.010412
1.37E-05,1.41E-05,0.011057
1.38E-05,1.51E-05,0.011733
1.39E-05,1.61E-05,0.012439
1.40E-05,1.71E-05,0.013177
1.41E-05,1.83E-05,0.013946
1.42E-05,1.95E-05,0.014748
1.43E-05,2.07E-05,0.015581
1.44E-05,2.20E-05,0.016447
1.45E-05,2.35E-05,0.017345
1.46E-05,2.49E-05,0.018275
1.47E-05,2.65E-05,0.019236
1.48E-05,2.82E-05,0.020228
1.49E-05,2.99E-05,0.02125
1.50E-05,3.18E-05,0.022301
1.51E-05,3.37E-05,0.023381
1.52E-05,3.57E-05,0.024486
1.53E-05,3.79E-05,0.025616
1.54E-05,4.02E-05,0.026769
1.55E-05,4.26E-05,0.027942
1.56E-05,4.51E-05,0.029134
1.57E-05,4.77E-05,0.030341
1.58E-05,5.05E-05,0.03156
1.59E-05,5.34E-05,0.032789
1.60E-05,5.65E-05,0.034024
1.61E-05,5.98E-05,0.035261
1.62E-05,6.32E-05,0.036497
1.63E-05,6.67E-05,0.037727
1.64E-05,7.05E-05,0.038947
1.65E-05,7.44E-05,0.040152
1.66E-05,7.85E-05,0.041339
1.67E-05,8.29E-05,0.042503
1.68E-05,8.74E-05,0.043638
1.69E-05,9.22E-05,0.04474
1.70E-05,9.72E-05,0.045805
1.71E-05,0.00010238,0.046828
1.72E-05,0.00010786,0.047804
1.73E-05,0.00011359,0.048729
1.74E-05,0.00011959,0.049599
1.75E-05,0.00012588,0.05041
1.76E-05,0.00013245,0.051158
1.77E-05,0.00013933,0.051839
1.78E-05,0.00014652,0.052451
1.79E-05,0.00015404,0.052991
1.80E-05,0.0001619,0.053457
1.81E-05,0.00017012,0.053846
1.82E-05,0.0001787,0.054157
1.83E-05,0.00018767,0.05439
1.84E-05,0.00019703,0.054544
1.85E-05,0.0002068,0.054618
1.86E-05,0.00021701,0.054613
1.87E-05,0.00022766,0.05453
1.88E-05,0.00023876,0.05437
1.89E-05,0.00025035,0.054135
1.90E-05,0.00026244,0.053826
1.91E-05,0.00027504,0.053447
1.92E-05,0.00028817,0.052999
1.93E-05,0.00030186,0.052486
1.94E-05,0.00031612,0.051912
1.95E-05,0.00033098,0.051278
1.96E-05,0.00034645,0.050591
1.97E-05,0.00036256,0.049852
1.98E-05,0.00037934,0.049066
1.99E-05,0.0003968,0.048237
2.00E-05,0.00041496,0.047369
2.01E-05,0.00043387,0.046466
2.02E-05,0.00045353,0.045533
2.03E-05,0.00047398,0.044572
2.04E-05,0.00049525,0.043588
2.05E-05,0.00051736,0.042585
2.06E-05,0.00054034,0.041566
2.07E-05,0.00056423,0.040535
2.08E-05,0.00058904,0.039496
2.09E-05,0.00061482,0.03845
2.10E-05,0.0006416,0.037402
2.11E-05,0.0006694,0.036355
2.12E-05,0.00069827,0.03531
2.13E-05,0.00072824,0.03427
2.14E-05,0.00075935,0.033238
2.15E-05,0.00079163,0.032216
2.16E-05,0.00082513,0.031205
2.17E-05,0.00085987,0.030207
2.18E-05,0.00089591,0.029224
2.19E-05,0.00093329,0.028257
2.20E-05,0.00097204,0.027308
2.21E-05,0.0010122,0.026377
2.22E-05,0.0010538,0.025465
2.23E-05,0.001097,0.024573
2.24E-05,0.0011417,0.023701
2.25E-05,0.001188,0.022851
2.26E-05,0.001236,0.022021
2.27E-05,0.0012857,0.021214
2.28E-05,0.0013372,0.020429
2.29E-05,0.0013905,0.019665
2.30E-05,0.0014456,0.018924
2.31E-05,0.0015027,0.018204
2.32E-05,0.0015618,0.017507
2.33E-05,0.0016229,0.016831
2.34E-05,0.0016862,0.016176
2.35E-05,0.0017516,0.015543
2.36E-05,0.0018193,0.01493
2.37E-05,0.0018893,0.014338
2.38E-05,0.0019617,0.013765
2.39E-05,0.0020365,0.013213
2.40E-05,0.0021138,0.01268
2.41E-05,0.0021937,0.012165
2.42E-05,0.0022763,0.011669
2.43E-05,0.0023617,0.011191
2.44E-05,0.0024499,0.01073
2.45E-05,0.002541,0.010286
2.46E-05,0.0026351,0.009858
2.47E-05,0.0027322,0.0094462
2.48E-05,0.0028326,0.0090499
2.49E-05,0.0029361,0.0086685
2.50E-05,0.0030431,0.0083015
2.51E-05,0.0031534,0.0079486
2.52E-05,0.0032674,0.0076091
2.53E-05,0.0033849,0.0072828
2.54E-05,0.0035062,0.006969
2.55E-05,0.0036313,0.0066674
2.56E-05,0.0037604,0.0063775
2.57E-05,0.0038936,0.006099
2.58E-05,0.0040309,0.0058313
2.59E-05,0.0041724,0.0055742
2.60E-05,0.0043184,0.0053272
2.61E-05,0.0044689,0.0050898
2.62E-05,0.004624,0.0048619
2.63E-05,0.0047839,0.004643
2.64E-05,0.0049487,0.0044327
2.65E-05,0.0051185,0.0042308
2.66E-05,0.0052934,0.0040369
2.67E-05,0.0054737,0.0038506
